PK,CCR,HIERARCHY,INCIDENTTIME,INCIDENTLOCATION,CLEAREDFLAG,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTHIERARCHYDESC,OFFENSES,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
307155714,23039428,6,2023-03-15T13:30:00,"5700 Block Penn Ave Pittsburgh, PA 15206",N,East Liberty,5,THEFT,3921 Theft by Unlawful Taking or Disposition.,1115,9,2,-79.9288033791223,40.4625815229149
-3664000093,23048778,6,2023-04-03T12:45:00,"300 Block E Mc Intyre Ave Pittsburgh, PA 15214",N,Perry South,1,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,2614,6,1,-80.0064471555657,40.4689927291205
307265888,23040601,14,2023-03-19T15:00:00,"5800 Block Ellsworth Ave Pittsburgh, PA 15232",N,Shadyside,4,CRIM MISCHIEF,3304 Criminal Mischief.,705,8,2,-79.9305988054314,40.4560876403463
307268020,23040587,0,2023-03-19T19:33:00,"6400 Block Navarro St Pittsburgh, PA 15206",N,Lincoln-Lemington-Belmar,5,99,9999 9999 - (Misc. Incident): Welfare Check,1203,9,2,-79.9036276179635,40.4696565092489
307268907,23040650,4,2023-03-19T19:34:00,"5400 Block Penn Ave Pittsburgh, PA 15206",N,Friendship,5,AGG-ASSAULT,2702 Aggravated Assault.,807,9,2,-79.9364169042528,40.4646627230563
307309379,23040649,99,2023-03-19T20:28:00,"1600 Block NE Penn Ave Pittsburgh, PA 15219",N,Central Business District,2,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),201,,,-79.8675726934885,40.4424256597311
307323621,23040917,27,2023-03-20T11:26:00,"E Sycamore St & Wyoming St Pittsburgh, PA 15211",N,Mount Washington,3,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,1914,2,5,-80.0064627872302,40.4302784768808
307350786,23040696,6,2023-03-19T18:45:00,"900 Block Cedar Ave Pittsburgh, PA 15212",Y,East Allegheny,1,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,2304,1,1,-80.0019849735465,40.455044788164
307353569,23041101,0,2023-03-20T16:28:00,"900 Block Middle St Pittsburgh, PA 15212",N,East Allegheny,1,99,9999 9999 - (Misc. Incident): ,2304,1,1,-79.999560590641,40.455532901934
308815970,23051235,99,2023-04-07T18:54:00,"300 Block Blvd Of The Allies Pittsburgh, PA 15222",N,Central Business District,2,FOUND DRUGS,9017 Found Drugs,201,6,6,-80.0018566639174,40.4380991224729
308819222,23051303,18,2023-04-07T20:26:00,"500 Block East Ohio St Pittsburgh, PA 15212",Y,East Allegheny,1,STOLEN PROPERTY - OTHER,13(a)(16) Possession of Controlled Substance,2304,1,1,-80.0005722777536,40.4535002565424
308828812,23051317,0,2023-04-07T20:50:00,"700 Block W General Robinson St Pittsburgh, PA 15212",N,California-Kirkbride,1,99,9999 9999 - (Misc. Incident): ,2507,,,,
308829715,23051342,0,2023-04-07T22:49:00,"600 Block Smithfield St Pittsburgh, PA 15222",Y,Central Business District,2,99,3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION,201,6,6,-79.9974088316752,40.4415332222525
308830066,23051399,99,2023-04-08T00:36:00,"200 Block S 9th St Pittsburgh, PA 15203",N,South Side Flats,3,MISSING PERSONS (18+),9490 Missing Persons (18 and Over),1702,,,,
308839070,23051515,6,2023-04-08T07:15:00,"1200 Block High St Pittsburgh, PA 15212",N,Spring Garden,1,THEFT,3921 Theft by Unlawful Taking or Disposition.,2412,1,1,-79.9916394451737,40.4606412543235
308884006,23051894,0,2023-04-08T21:32:00,"7100 Block Frankstown Ave Pittsburgh, PA 15208",N,Homewood South,5,99,9999 9999 - (Misc. Incident): ,1303,9,2,-79.8985004711412,40.4578978347468
308873956,23051347,0,2023-04-07T22:22:00,"3400 Block Bates St Pittsburgh, PA 15213",N,Central Oakland,4,99,9999 9999 - (Misc. Incident): ,405,3,3,-79.9564110483596,40.4351605451055
308909746,23052114,0,2023-04-09T10:30:00,"Bigelow Sq Pittsburgh, PA 15219",N,Central Business District,2,99,9090 Recovered Firearm,201,6,6,-79.9944412481352,40.4408516471518
306876090,23037742,0,2023-03-14T08:05:00,"200 Block N Craig St Pittsburgh, PA 15213",N,North Oakland,4,99,9999 9999 - (Misc. Incident): ,507,8,3,-79.9506328125178,40.4499712801056
306905185,23037839,0,2023-03-14T14:24:00,"6th Ave & Liberty Ave Pittsburgh, PA 15222",Y,Central Business District,2,99,100 Fugitive,201,6,6,-80.0002309433636,40.4423411977842
306934408,23037840,10,2023-03-14T14:41:00,"4600 Block Centre Ave Pittsburgh, PA 15213",Y,North Oakland,4,TERRORISTIC THREATS,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats / 2706 Terroristic Threats. / 4304(a)(1) Endangering Welfare of Children. / 3802(c) DUI - Highest Rate of Alcohol - BAC >= .16% / 5505 Public Drunkenness / 5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING / 3802(a)(1) DUI - General Impairment / 3361  Driving Vehicle at Safe Speed.",507,6,3,-79.9519916890064,40.4519096542795
306991221,23038288,6,2023-03-15T12:00:00,"100 Block N Craig St Pittsburgh, PA 15213",N,North Oakland,4,THEFT,"3924 Theft of Property Lost, Mislaid or Delivered by Mistake.",404,,,-79.8783824278341,40.4433210032603
308349260,23048428,27,2023-04-02T18:47:00,"Bausman St & Grimes Ave Pittsburgh, PA 15210",N,Knoxville,3,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,3001,3,5,-79.9929805802301,40.4143052270244
308350193,23048460,0,2023-04-02T19:45:00,"Interboro Ave & West Run Rd Pittsburgh, PA 15207",N,Lincoln Place,4,99,9999 9999 - (Misc. Incident):  MVA involving PFD Fire Eng #20,3102,5,3,-79.9093398281685,40.3769026304304
308350374,23048452,10,2023-04-02T19:39:00,"2000 Block Brownsville Rd Pittsburgh, PA 15210",N,Carrick,3,RECKLESSLY ENDANGER ANOTH PER,2705 Recklessly Endangering Another Person. / 3304 Criminal Mischief.,2901,4,3,-79.986867730847,40.3949659476581
308351655,23048504,26,2023-04-02T14:54:00,"700 Block Fairston St Pittsburgh, PA 15204",Y,Crafton Heights,2,UNAUTHORIZED USE VEHICLE,3928 Unauthorized Use of Automobile and Other Vehicles.,201,2,5,-80.0530351664504,40.4500616794175
308353235,23048526,0,2023-04-02T23:46:00,"2000 Block Centre Ave Pittsburgh, PA 15219",N,Crawford-Roberts,2,99,9999 9999 - (Misc. Incident): ,305,6,3,-79.9799824053927,40.4435889103074
308398095,23048765,0,2023-04-03T12:15:00,"2400 Block Valera Ave Pittsburgh, PA 15210",N,Carrick,3,99,9999 9999 - (Misc. Incident): Suspicious Person,2904,4,3,-79.9840098717707,40.3854973927396
308415827,23048850,0,2023-04-03T15:30:00,"2100 Block Wharton St Pittsburgh, PA 15203",N,South Side Flats,3,99,9999 9999 - (Misc. Incident): ,1609,3,3,-79.9756669066692,40.4300920719162
308434950,23049095,27,2023-04-03T22:08:00,"5800 Block Douglas St Pittsburgh, PA 15217",N,Squirrel Hill South,4,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1408,5,3,-79.9230474954698,40.4328080113302
306768624,23037357,10,2023-03-13T15:34:00,Zone 2,Y,,2,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats / 3126 Indecent Assault. / 5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF",,,,,
308511304,23049441,0,2023-04-04T15:45:00,"3300 Block Parkview Ave Pittsburgh, PA 15213",N,South Oakland,4,99,9999 9999 - (Misc. Incident): Welfare Check,409,3,3,-79.9525665047687,40.4317256815541
308521768,23049590,99,2023-04-04T19:47:00,"2000 Block Whited St Pittsburgh, PA 15210",N,Brookline,6,AIDED CASE,9497 Aided Case,3206,4,5,-79.9998845738825,40.3958259387814
-3523003595,23049779,0,2023-04-05T07:00:00,"1400 Block 5th Ave Pittsburgh, PA 15219",N,Central Business District,2,99,9999 9999 - (Misc. Incident): ,201,6,3,-79.9863133607321,40.4383779130496
307161315,23039455,11,2023-03-17T00:01:00,"2200 Block Palm Beach Ave Pittsburgh, PA 15216",N,Beechview,6,THEFT BY DECEPTION,3922 Theft by Deception. / 4120 Identity Theft,1920,4,5,-80.0262156398394,40.4038396517715
307186513,23039642,10,2023-03-17T20:55:00,"600 Block Finland St Pittsburgh, PA 15219",Y,Upper Hill,2,TERRORISTIC THREATS,"2701(a)(3) Simple Assault - Attempts by Physical Menace  / 2706 Terroristic Threats. / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b)",506,6,3,-79.95906222292,40.4562720990355
307192962,23039795,10,2023-03-18T03:12:00,"20 Block S 10th St Pittsburgh, PA 15203",Y,South Side Flats,3,SIMPLE ASSAULT,2701 Simple Assault. / 5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING,1702,3,3,-79.9889441947875,40.4299278704556
307193640,23039821,0,2023-03-18T05:20:00,"2700 Block Bergman St Pittsburgh, PA 15204",N,Sheraden,6,99,9999 9999 - (Misc. Incident): ,2018,2,5,-80.0513900249111,40.4529446039448
307195548,23039816,27,2023-03-18T04:25:00,"2600 Block Noblestown Rd Pittsburgh, PA ",N,Oakwood,6,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop. / 1785 Proof of Financial Responsibility Following Accident. / 1511 Carrying and Exhibiting Driver's License on Demand. / 3746 Immediate Notice of Accident to Police Department,2812,,,,
307213099,23039884,6,2023-03-18T10:24:00,"5200 Block Carnegie St Pittsburgh, PA 15201",N,Upper Lawrenceville,2,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,1011,7,2,-79.953468750008,40.4798719541807
307218993,23039973,0,2023-03-18T13:45:00,"400 Block S Main St Pittsburgh, PA 15220",N,West End,6,99,9999 9999 - (Misc. Incident): ,2019,2,5,-80.0330943644795,40.4416856571646
307239533,23040309,27,2023-03-19T01:48:00,"Woods Run Ave & McClure  Ave Pittsburgh, PA 15212",N,Marshall-Shadeland,1,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property / 3744 Duty to Give Information and Render Aid,2715,1,1,-80.0351212308145,40.4750989479779
308425321,23048949,10,2023-04-02T03:30:00,"200 Block Meyran Ave Pittsburgh, PA 15213",N,Central Oakland,4,SIMPLE ASSAULT,"2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury",405,3,3,-79.9582252389536,40.440309406601
308429401,23049043,0,2023-04-03T20:25:00,"200 Block Glen Caladh St Pittsburgh, PA 15207",N,Hazelwood,4,99,9994 PFA Service,1515,5,3,-79.9422635425757,40.409484151829
308435832,23049090,99,2023-04-03T21:46:00,"2200 Block Penn Ave Pittsburgh, PA 15222",N,Strip District,2,AIDED CASE,9497 Aided Case,203,7,6,-79.9819706474306,40.452203862932
308149544,23046417,99,2023-03-30T07:51:00,"3400 Block Dawson St Pittsburgh, PA 15213",N,Central Oakland,4,ACCIDENTAL FIRE,9018 Accidental Fire,406,3,3,-79.952850505828,40.4345581096041
307399942,23041426,6,2023-03-21T09:45:00,"1800 Block Morningside Ave Pittsburgh, PA 15206",N,Morningside,5,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,1014,7,2,-79.9268250101656,40.4865065649153
307448411,23041630,24,2023-03-21T17:10:00,"Birmingham Brg & E Carson St Pittsburgh, PA 15203",Y,South Side Flats,3,DISORDERLY CONDUCT,5507 Obstructing Highways and Passages. / 5503 Disorderly Conduct. / 9501 Bench Warrant / 602.04 Panhandling and Prohibited Conduct,1609,3,3,-79.9736110511516,40.4283706493447
307478638,23041799,18,2023-03-21T21:45:00,"Hornaday Rd & Brownsville Rd Pittsburgh, PA 15210",Y,Carrick,3,STOLEN PROPERTY - OTHER,13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 13(a)(16) Possession of Controlled Substance,2902,4,3,-79.9864908070422,40.3946297345909
307481849,23041339,4,2023-03-19T03:15:00,"900 Block sECOND Ave Pittsburgh, PA 15219",Y,Marshall-Shadeland,2,AGG-ASSAULT,2702 Aggravated Assault. / 2705 Recklessly Endangering Another Person. / 6106 Firearms not to be Carried without a License. / 3714 Careless Driving / 3732.1 Aggravated Assault by Vehicle / 3736 Reckless Driving / 3733 Fleeing or Attempting to Elude Police Officer / 3353 Prohibitions in Specified Places. / 3334 Turning Movements and Required Signals.,103,6,6,-79.9931846812947,40.4350718208947
307527614,23042034,0,2023-03-21T20:38:00,"6800 Block Hamilton Ave Pittsburgh, PA 15208",N,Homewood West,5,99,"6501(a)(1) Scattering Rubbish; Any waste, dangerous or detrimental substance upon public property or waters",1207,9,2,-79.906656834848,40.4567041154448
308919899,23052186,11,2023-04-09T15:39:00,"5500 Block Howe St Pittsburgh, PA 15232",N,Shadyside,4,THEFT BY DECEPTION,3922 Theft by Deception.,703,8,2,-79.9331787267846,40.4502272306833
308942601,23052395,0,2023-04-10T01:15:00,"2900 Block Zephyr Ave Pittsburgh, PA 15204",Y,Sheraden,6,99,9093 Indirect Criminal Contempt,2018,2,5,-80.0520014380855,40.4547846713603
308951836,23052126,6,2023-04-09T10:00:00,"Merriman Way & S 22nd St Pittsburgh, PA 15203",N,South Side Flats,3,THEFT FROM AUTO,3934 Theft from Vehicle,1609,3,3,-79.9744148793799,40.4306823018905
309021241,23052704,99,2023-04-10T16:30:00,"2400 Block Berg St Pittsburgh, PA 15203",Y,South Side Slopes,3,AIDED CASE,9497 Aided Case,1608,3,3,-79.972385626224,40.4196171775813
309028959,23052776,99,2023-04-10T19:00:00,"700 Block Bucyrus St Pittsburgh, PA 15220",Y,Elliott,6,AIDED CASE,9497 Aided Case,2020,2,5,-80.0398911870935,40.445661631782
309029725,23052691,1,2023-04-10T16:45:00,"7600 Block Baxter St Pittsburgh, PA 15208",N,Homewood North,5,CRIMINAL HOMICIDE,2501 Criminal Homicide.,1302,9,2,-79.8896211817362,40.4570666398906
307033618,23038676,18,2023-03-16T06:14:00,"800 Block Collins Ave Pittsburgh, PA 15206",Y,Highland Park,5,STOLEN PROPERTY - OTHER,13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 13(a)(30) Possession w/ Intent to Del. Controlled Substance,1106,,,,
307065357,23038717,10,2023-03-15T09:00:00,"1200 Block Montezuma St Pittsburgh, PA 15206",Y,Lincoln-Lemington-Belmar,5,HARRASSMENT,2709 Harassment (Non-Specific),1203,9,2,-79.9022083454784,40.4672418999621
307070538,23038823,14,2023-03-16T13:00:00,"4300 Block Murray Ave Pittsburgh, PA 15217",N,Greenfield,4,CRIM MISCHIEF,3304 Criminal Mischief.,1517,5,3,-79.9290614620162,40.4217786333251
307105629,23038889,24,2023-03-16T15:29:00,"6th Ave & Smithfield St Pittsburgh, PA 15222",Y,Central Business District,2,DISORDERLY CONDUCT,5503 Disorderly Conduct.,201,6,6,-79.9977344790324,40.4414644227404
307106956,23038923,6,2023-03-16T16:46:00,"Penn Ave & N Dallas Ave Pittsburgh, PA 15208",N,Point Breeze,4,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,1404,8,3,-79.9081945578888,40.4514945750668
307122899,23039077,3,2023-03-16T21:21:00,"5th Ave & Moultrie St Pittsburgh, PA 15219",Y,Bluff,2,ROBBERY,"3701 Robbery. / 2701 Simple Assault. / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b)",103,6,3,-79.9744317839573,40.4380340440585
307128269,23039210,0,2023-03-17T03:38:00,"Lombard St & Diaz Way Pittsburgh, PA 15219",N,Central Business District,2,99,8106 Shots Fired,201,,,,
307128947,23039114,6,2023-03-16T23:00:00,"900 Block Liberty Ave Pittsburgh, PA 15222",N,Central Business District,2,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,201,6,6,-79.9979394803376,40.4429453058783
308448974,23048831,10,2023-04-03T15:09:00,"Market St Pittsburgh, PA 15222",Y,Central Business District,2,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats / 3503 Criminal Trespass",201,6,6,-80.0044622339765,40.4379182373608
308477012,23049306,0,2023-04-04T10:55:00,"900 Block Anaheim St Pittsburgh, PA 15219",N,Upper Hill,2,99,9999 9999 - (Misc. Incident): ,506,6,3,-79.9590851063338,40.4514852764691
308561883,23049782,6,2023-04-05T07:06:00,"100 Block Anderson St Pittsburgh, PA 15212",N,North Shore,1,THEFT FROM AUTO,3934 Theft from Vehicle,2205,1,6,-79.9993618360473,40.448638374196
308626151,23033076,15,2023-04-05T17:17:00,"300 Block Renova St Pittsburgh, PA 15207",Y,Brighton Heights,1,FIREARMS NOT TO BE CARRIED WO LICENSE,"6106 Firearms not to be Carried without a License. / 3323 Stop Signs and Yield Signs. / 3714 Careless Driving / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b)",2703,5,3,-79.9370577785652,40.4024414373588
306898980,23037740,0,2023-03-14T10:00:00,"1400 Block Washington Blvd Pittsburgh, PA 15206",N,Highland Park,5,99,9994 PFA Service,1106,9,2,-79.9086166755192,40.4703056332591
306903630,23037858,6,2023-03-13T15:00:00,"300 Block Jacksonia St Pittsburgh, PA 15212",N,Central North Side,1,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,2503,6,1,-80.0106525683297,40.4578246818918
306906431,23037885,0,2023-03-14T15:30:00,"3100 Block Shadeland Ave Pittsburgh, PA 15212",N,Marshall-Shadeland,1,99,9994 PFA Service,2715,1,1,-80.0314333216624,40.4733375823131
306941890,23038006,15,2023-03-14T21:41:00,"Middle St & Thropp St Pittsburgh, PA 15212",Y,East Allegheny,1,FIREARMS NOT TO BE CARRIED WO LICENSE,"6106 Firearms not to be Carried without a License. / 13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 3802(c) DUI - Highest Rate of Alcohol - BAC >= .16% / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b) / 3802(a)(1) DUI - General Impairment",2304,1,1,-79.9997824931788,40.4557814255691
306949419,23038098,27,2023-03-15T06:13:00,"Ohio River Blvd & Mckees Rocks Brg Pittsburgh, PA 15212",N,Brighton Heights,1,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,2701,1,1,-80.0438525192105,40.4795625107137
308615085,23049994,23,2023-04-05T14:40:00,"Coffey Way & 6th Ave Pittsburgh, PA 15222",Y,Central Business District,2,PUBLIC DRUNKENESS,5505 Public Drunkenness,201,6,6,-79.9989223145337,40.4418971269944
308634048,23050174,11,2023-04-05T18:00:00,"2800 Block Perrysville Ave Pittsburgh, PA 15214",N,Perry South,1,IDENTITY THEFT,4120 Identity Theft / 3923 Theft by Extortion. / 7615(a)(1) Computer Trespass - Remove Data,2615,1,1,-80.0103860831838,40.4739827996165
308662124,23050382,3,2023-04-06T04:58:00,"1400 Block Locust St Pittsburgh, PA 15219",N,Bluff,2,ROBBERY,3701 Robbery.,103,6,3,-79.9854587006851,40.4360439740714
308694437,23050458,14,2023-04-06T10:17:00,"S 13th St & Bingham St Pittsburgh, PA 15203",N,South Side Flats,3,CRIM MISCHIEF,3304 Criminal Mischief.,1702,3,3,-79.9853596882106,40.4294496071147
307253501,23040401,10,2023-03-19T07:59:00,"1500 Block Amanda St Pittsburgh, PA 15210",Y,Central Business District,3,SIMPLE ASSAULT,2701 Simple Assault.,2902,4,3,-79.988436607001,40.4008838787087
307264839,23040545,0,2023-03-19T15:15:00,"6th Ave & Coffey Way Pittsburgh, PA 15222",Y,Central Business District,2,99,1785 Proof of Financial Responsibility Following Accident.,201,6,6,-79.9989223145337,40.4418971269944
307267992,23040633,6,2023-03-19T18:54:00,"500 Block Tripoli St Pittsburgh, PA 15212",N,East Allegheny,1,THEFT,3921 Theft by Unlawful Taking or Disposition.,2304,1,1,-80.0009402466981,40.456257946231
307274986,23040238,0,2023-03-18T23:10:00,"1600 Block W Carson St Pittsburgh, PA 15219",N,South Shore,3,99,425.26 Miscellaneous,1921,2,5,-80.0213528738134,40.4421395488467
307279762,23040792,99,2023-03-20T02:21:00,"2100 Block Mazette Pl Pittsburgh, PA 15205",N,Fairywood,6,MENTAL 201/302,9498 302 (Mental),2808,,,,
307286631,23040356,6,2023-03-19T04:39:00,"300 Block Brownsville Rd Pittsburgh, PA 15210",N,Knoxville,3,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item / 2706 Terroristic Threats. / 670.02  (a) Disruptive activity prepetrataed/caused/permitted on property by owner(s)/tenant(s)/occupant(s)/invitee(s) of the property,3001,3,5,-79.9883627708382,40.4142974620648
307292981,23040861,99,2023-03-20T08:49:00,"20 Block Marne Way Pittsburgh, PA 15211",Y,Mount Washington,3,AIDED CASE,9497 Aided Case,1914,2,5,-80.012557822109,40.4238184400282
308526700,23049604,0,2023-04-04T20:04:00,"1300 Block Complete St Pittsburgh, PA 15212",N,Marshall-Shadeland,1,99,9999 9999 - (Misc. Incident): Fire Pit,2715,,,,
308556355,23049757,14,2023-04-05T04:33:00,"7200 Block Kelly St Pittsburgh, PA 15208",N,Homewood South,5,CRIM MISCHIEF,3304 Criminal Mischief. / 903 Criminal Conspiracy.,1303,9,2,-79.896995627891,40.4555186506375
308566462,23049086,99,2023-04-04T07:00:00,"1200 Block Woodland Ave Pittsburgh, PA 15212",N,Marshall-Shadeland,1,MISCELLANEOUS INVESTIGATION,9129 Miscellaneous Investigation,2715,1,1,-80.0275103365149,40.4697396230738
308646561,23050284,14,2023-04-05T23:33:00,"400 Block Mt Pleasant Rd Pittsburgh, PA 15214",Y,Northview Heights,1,CRIMINAL MISCHIEF,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another / 5505 Public Drunkenness / 5503(a)(2) DISORDERLY CONDUCT - UNREASONABLE NOISE,2609,1,1,-80.0019047608856,40.4798372205299
307531542,23042013,14,2023-03-22T11:26:00,"7600 Block Frankstown Ave Pittsburgh, PA 15221",N,Homewood North,5,CRIM MISCHIEF,3304 Criminal Mischief.,1302,9,2,-79.8899923099226,40.4559504001139
307534095,23041916,0,2023-03-22T07:50:00,"1000 Block Lakewood St Pittsburgh, PA 15220",N,Elliott,6,99,9999 9999 - (Misc. Incident): ,2020,2,5,-80.039006981703,40.4451056822566
307541641,23042030,9,2023-03-22T11:55:00,"300 Block Cedar Ave Pittsburgh, PA 15212",N,East Allegheny,1,FORGERY,4101 Forgery.,2304,1,1,-80.0009078076061,40.4508935571012
307554225,23042206,10,2023-03-22T16:51:00,"3000 Block Bergman St Pittsburgh, PA 15204",N,Sheraden,6,HARRASSMENT,2709(a) Harassment.,2018,,,,
309047647,23052436,0,2023-04-10T05:00:00,"6400 Block Penn Ave Pittsburgh, PA 15206",N,Shadyside,4,99,9999 9999 - (Misc. Incident): ,708,9,2,-79.9174350673146,40.4575134947128
309091587,23053099,0,2023-04-11T10:33:00,"100 Block Rental Car Access Rd Pittsburgh, PA 15231",N,Outside State,OSC,99,9094 Recovered Stolen Vehicle (OUTSIDE CITY),7799,,,-80.2579610957766,40.4909465542931
309121436,23053236,11,2023-04-11T14:30:00,"600 Block Smithfield St Pittsburgh, PA 15219",N,Central Business District,2,BAD CHECKS,4105(a)(1) Bad Checks,201,6,6,-79.9974088316752,40.4415332222525
309122306,23049585,0,2023-04-04T19:28:00,"300 Block La Marido St Pittsburgh, PA 15226",Y,Brookline,6,99,2709(b) Stalking / 9093 Indirect Criminal Contempt,1917,4,5,-80.0180780440246,40.4003518313301
309136805,23053406,0,2023-04-11T18:53:00,"2400 Block Glenarm Ave Pittsburgh, PA 15226",Y,Brookline,6,99,2709(b) Stalking,1919,4,5,-80.0161213069579,40.3955364590744
-3637084303,23053472,23,2023-04-11T20:55:00,"400 Block Semple St Pittsburgh, PA 15213",Y,Central Oakland,4,PUBLIC DRUNKENESS,5505 Public Drunkenness,406,3,3,-79.9549960756376,40.4369396794834
307148675,23039348,10,2023-03-17T11:14:00,"Grant St & 6th Ave Pittsburgh, PA 15219",Y,Central Business District,2,RESIST ARREST/OTHER LAW ENFORC,5104 Resisting Arrest or Other Law Enforcement. / 5503 Disorderly Conduct. / 5507(b)(1)(i) REFUSES TO MOVE - OBSTRUCT HIGHWAY,201,6,6,-79.9958855335618,40.4407645577097
307251594,23040404,6,2023-03-18T15:27:00,"100 Block Banner Way Pittsburgh, PA 15201",Y,Central Lawrenceville,2,THEFT,3921 Theft by Unlawful Taking or Disposition. / 3503(b.1) Criminal Trespass - Simple Trespasser,901,7,2,-79.9636853013137,40.4718278212021
307258711,23040499,11,2023-03-19T13:06:00,"2900 Block Bedford Ave Pittsburgh, PA 15219",Y,Bedford Dwellings,2,CREDIT CARDS,4106 Access Device Fraud,509,6,3,-79.9673519529593,40.4525626778715
308634473,23050203,0,2023-04-05T20:23:00,"500 Block Fairywood St Pittsburgh, PA 15205",N,Fairywood,6,99,9994 PFA Service,2808,2,5,-80.0806311590121,40.4481211930903
308650831,23050320,6,2023-04-02T23:15:00,"1800 Block Bentley Dr Pittsburgh, PA 15219",Y,Terrace Village,2,THEFT,3921 Theft by Unlawful Taking or Disposition. / 2701 Simple Assault.,511,6,3,-79.9740765784335,40.4408163909292
308676366,23050001,11,2023-04-05T14:50:00,"7000 Block Kelly St Pittsburgh, PA 15208",N,Homewood South,5,THEFT BY DECEPTION,3922 Theft by Deception.,1303,9,2,-79.901814630202,40.4566120541176
308681343,23050423,6,2023-04-06T03:00:00,"2600 Block Winchester Rd Pittsburgh, PA 15220",N,Banksville,6,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,2023,,,,
308688248,23047578,10,2023-04-01T08:50:00,"6200 Block Broad St Pittsburgh, PA 15206",N,East Liberty,5,RECKLESSLY ENDANGER ANOTH PER,"2705 Recklessly Endangering Another Person. / 3304(a)(4) CRIMINAL MISCHIEF- Intentionally Damage Property (By Graffiti, Aerosol Spray Paint, Broad Tip Marker, or Similar)",1115,9,2,-79.9220513942882,40.4616553241841
308707390,23050500,5,2023-04-06T11:20:00,"5100 Block Beeler St Pittsburgh, PA 15217",N,Squirrel Hill North,4,BURGLARY,3502 Burglary. / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,1401,8,3,-79.938763091183,40.443897769471
308737533,23050750,0,2023-04-06T20:00:00,"2000 Block Centre Ave Pittsburgh, PA 15219",N,Crawford-Roberts,2,99,9994 PFA Service,305,6,3,-79.9799824053927,40.4435889103074
308742466,23050688,0,2023-04-06T18:12:00,"1600 Block Steuben St Pittsburgh, PA 15205",N,Crafton Heights,6,99,8106 Shots Fired,2815,2,5,-80.0553368960626,40.4441600677875
306983327,23038211,99,2023-03-15T11:05:00,"2400 Block Bedford Ave Pittsburgh, PA 15219",N,Bedford Dwellings,2,MISSING PERSONS (18+),9490 Missing Persons (18 and Over),509,6,3,-79.9742739984904,40.4496143418734
306985878,23038229,0,2023-03-15T12:30:00,"1400 Block Crucible St Pittsburgh, PA 15220",N,Crafton Heights,6,99,9994 PFA Service,2814,2,5,-80.0497110358468,40.4485793521547
